,Fare,Survived
0,7.25,0
1,71.2833,1
2,7.925,1
3,53.1,1
4,8.05,0
5,8.4583,0
6,51.8625,0
7,21.075,0
8,11.1333,1
9,30.0708,1
10,16.7,1
11,26.55,1
12,8.05,0
13,31.275,0
14,7.8542,0
15,16.0,1
16,29.125,0
17,13.0,1
18,18.0,0
19,7.225,1
20,26.0,0
21,13.0,1
22,8.0292,1
23,35.5,1
24,21.075,0
25,31.3875,1
26,7.225,0
27,263.0,0
28,7.8792,1
29,7.8958,0
30,27.7208,0
31,146.5208,1
32,7.75,1
33,10.5,0
34,82.1708,0
35,52.0,0
36,7.2292,1
37,8.05,0
38,18.0,0
39,11.2417,1
40,9.475,0
41,21.0,0
42,7.8958,0
43,41.5792,1
44,7.8792,1
45,8.05,0
46,15.5,0
47,7.75,1
48,21.6792,0
49,17.8,0
50,39.6875,0
51,7.8,0
52,76.7292,1
53,26.0,1
54,61.9792,0
55,35.5,1
56,10.5,1
57,7.2292,0
58,27.75,1
59,46.9,0
60,7.2292,0
61,80.0,1
62,83.475,0
63,27.9,0
64,27.7208,0
65,15.2458,1
66,10.5,1
67,8.1583,0
68,7.925,1
69,8.6625,0
70,10.5,0
71,46.9,0
72,73.5,0
73,14.4542,0
74,56.4958,1
75,7.65,0
76,7.8958,0
77,8.05,0
78,29.0,1
79,12.475,1
80,9.0,0
81,9.5,1
82,7.7875,1
83,47.1,0
84,10.5,1
85,15.85,1
86,34.375,0
87,8.05,0
88,263.0,1
89,8.05,0
90,8.05,0
91,7.8542,0
92,61.175,0
93,20.575,0
94,7.25,0
95,8.05,0
96,34.6542,0
97,63.3583,1
98,23.0,1
99,26.0,0
100,7.8958,0
101,7.8958,0
102,77.2875,0
103,8.6542,0
104,7.925,0
105,7.8958,0
106,7.65,1
107,7.775,1
108,7.8958,0
109,24.15,1
110,52.0,0
111,14.4542,0
112,8.05,0
113,9.825,0
114,14.4583,0
115,7.925,0
116,7.75,0
117,21.0,0
118,247.5208,0
119,31.275,0
120,73.5,0
121,8.05,0
122,30.0708,0
123,13.0,1
124,77.2875,0
125,11.2417,1
126,7.75,0
127,7.1417,1
128,22.3583,1
129,6.975,0
130,7.8958,0
131,7.05,0
132,14.5,0
133,26.0,1
134,13.0,0
135,15.0458,0
136,26.2833,1
137,53.1,0
138,9.2167,0
139,79.2,0
140,15.2458,0
141,7.75,1
142,15.85,1
143,6.75,0
144,11.5,0
145,36.75,0
146,7.7958,1
147,34.375,0
148,26.0,0
149,13.0,0
150,12.525,0
151,66.6,1
152,8.05,0
153,14.5,0
154,7.3125,0
155,61.3792,0
156,7.7333,1
157,8.05,0
158,8.6625,0
159,69.55,0
160,16.1,0
161,15.75,1
162,7.775,0
163,8.6625,0
164,39.6875,0
165,20.525,1
166,55.0,1
167,27.9,0
168,25.925,0
169,56.4958,0
170,33.5,0
171,29.125,0
172,11.1333,1
173,7.925,0
174,30.6958,0
175,7.8542,0
176,25.4667,0
177,28.7125,0
178,13.0,0
179,0.0,0
180,69.55,0
181,15.05,0
182,31.3875,0
183,39.0,1
184,22.025,1
185,50.0,0
186,15.5,1
187,26.55,1
188,15.5,0
189,7.8958,0
190,13.0,1
191,13.0,0
192,7.8542,1
193,26.0,1
194,27.7208,1
195,146.5208,1
196,7.75,0
197,8.4042,0
198,7.75,1
199,13.0,0
200,9.5,0
201,69.55,0
202,6.4958,0
203,7.225,0
204,8.05,1
205,10.4625,0
206,15.85,0
207,18.7875,1
208,7.75,1
209,31.0,1
210,7.05,0
211,21.0,1
212,7.25,0
213,13.0,0
214,7.75,0
215,113.275,1
216,7.925,1
217,27.0,0
218,76.2917,1
219,10.5,0
220,8.05,1
221,13.0,0
222,8.05,0
223,7.8958,0
224,90.0,1
225,9.35,0
226,10.5,1
227,7.25,0
228,13.0,0
229,25.4667,0
230,83.475,1
231,7.775,0
232,13.5,0
233,31.3875,1
234,10.5,0
235,7.55,0
236,26.0,0
237,26.25,1
238,10.5,0
239,12.275,0
240,14.4542,0
241,15.5,1
242,10.5,0
243,7.125,0
244,7.225,0
245,90.0,0
246,7.775,0
247,14.5,1
248,52.5542,1
249,26.0,0
250,7.25,0
251,10.4625,0
252,26.55,0
253,16.1,0
254,20.2125,0
255,15.2458,1
256,79.2,1
257,86.5,1
258,512.3292,1
259,26.0,1
260,7.75,0
261,31.3875,1
262,79.65,0
263,0.0,0
264,7.75,0
265,10.5,0
266,39.6875,0
267,7.775,1
268,153.4625,1
269,135.6333,1
270,31.0,0
271,0.0,1
272,19.5,1
273,29.7,0
274,7.75,1
275,77.9583,1
276,7.75,0
277,0.0,0
278,29.125,0
279,20.25,1
280,7.75,0
281,7.8542,0
282,9.5,0
283,8.05,1
284,26.0,0
285,8.6625,0
286,9.5,1
287,7.8958,0
288,13.0,1
289,7.75,1
290,78.85,1
291,91.0792,1
292,12.875,0
293,8.85,0
294,7.8958,0
295,27.7208,0
296,7.2292,0
297,151.55,0
298,30.5,1
299,247.5208,1
300,7.75,1
301,23.25,1
302,0.0,0
303,12.35,1
304,8.05,0
305,151.55,1
306,110.8833,1
307,108.9,1
308,24.0,0
309,56.9292,1
310,83.1583,1
311,262.375,1
312,26.0,0
313,7.8958,0
314,26.25,0
315,7.8542,1
316,26.0,1
317,14.0,0
318,164.8667,1
319,134.5,1
320,7.25,0
321,7.8958,0
322,12.35,1
323,29.0,1
324,69.55,0
325,135.6333,1
326,6.2375,0
327,13.0,1
328,20.525,1
329,57.9792,1
330,23.25,1
331,28.5,0
332,153.4625,0
333,18.0,0
334,133.65,1
335,7.8958,0
336,66.6,0
337,134.5,1
338,8.05,1
339,35.5,0
340,26.0,1
341,263.0,1
342,13.0,0
343,13.0,0
344,13.0,0
345,13.0,1
346,13.0,1
347,16.1,1
348,15.9,1
349,8.6625,0
350,9.225,0
351,35.0,0
352,7.2292,0
353,17.8,0
354,7.225,0
355,9.5,0
356,55.0,1
357,13.0,0
358,7.8792,1
359,7.8792,1
360,27.9,0
361,27.7208,0
362,14.4542,0
363,7.05,0
364,15.5,0
365,7.25,0
366,75.25,1
367,7.2292,1
368,7.75,1
369,69.3,1
370,55.4417,1
371,6.4958,0
372,8.05,0
373,135.6333,0
374,21.075,0
375,82.1708,1
376,7.25,1
377,211.5,0
378,4.0125,0
379,7.775,0
380,227.525,1
381,15.7417,1
382,7.925,0
383,52.0,1
384,7.8958,0
385,73.5,0
386,46.9,0
387,13.0,1
388,7.7292,0
389,12.0,1
390,120.0,1
391,7.7958,1
392,7.925,0
393,113.275,1
394,16.7,1
395,7.7958,0
396,7.8542,0
397,26.0,0
398,10.5,0
399,12.65,1
400,7.925,1
401,8.05,0
402,9.825,0
403,15.85,0
404,8.6625,0
405,21.0,0
406,7.75,0
407,18.75,1
408,7.775,0
409,25.4667,0
410,7.8958,0
411,6.8583,0
412,90.0,1
413,0.0,0
414,7.925,1
415,8.05,0
416,32.5,1
417,13.0,1
418,13.0,0
419,24.15,0
420,7.8958,0
421,7.7333,0
422,7.875,0
423,14.4,0
424,20.2125,0
425,7.25,0
426,26.0,1
427,26.0,1
428,7.75,0
429,8.05,1
430,26.55,1
431,16.1,1
432,26.0,1
433,7.125,0
434,55.9,0
435,120.0,1
436,34.375,0
437,18.75,1
438,263.0,0
439,10.5,0
440,26.25,1
441,9.5,0
442,7.775,0
443,13.0,1
444,8.1125,1
445,81.8583,1
446,19.5,1
447,26.55,1
448,19.2583,1
449,30.5,1
450,27.75,0
451,19.9667,0
452,27.75,0
453,89.1042,1
454,8.05,0
455,7.8958,1
456,26.55,0
457,51.8625,1
458,10.5,1
459,7.75,0
460,26.55,1
461,8.05,0
462,38.5,0
463,13.0,0
464,8.05,0
465,7.05,0
466,0.0,0
467,26.55,0
468,7.725,0
469,19.2583,1
470,7.25,0
471,8.6625,0
472,27.75,1
473,13.7917,1
474,9.8375,0
475,52.0,0
476,21.0,0
477,7.0458,0
478,7.5208,0
479,12.2875,1
480,46.9,0
481,0.0,0
482,8.05,0
483,9.5875,1
484,91.0792,1
485,25.4667,0
486,90.0,1
487,29.7,0
488,8.05,0
489,15.9,1
490,19.9667,0
491,7.25,0
492,30.5,0
493,49.5042,0
494,8.05,0
495,14.4583,0
496,78.2667,1
497,15.1,0
498,151.55,0
499,7.7958,0
500,8.6625,0
501,7.75,0
502,7.6292,0
503,9.5875,0
504,86.5,1
505,108.9,0
506,26.0,1
507,26.55,1
508,22.525,0
509,56.4958,1
510,7.75,1
511,8.05,0
512,26.2875,1
513,59.4,1
514,7.4958,0
515,34.0208,0
516,10.5,1
517,24.15,0
518,26.0,1
519,7.8958,0
520,93.5,1
521,7.8958,0
522,7.225,0
523,57.9792,1
524,7.2292,0
525,7.75,0
526,10.5,1
527,221.7792,0
528,7.925,0
529,11.5,0
530,26.0,1
531,7.2292,0
532,7.2292,0
533,22.3583,1
534,8.6625,0
535,26.25,1
536,26.55,0
537,106.425,1
538,14.5,0
539,49.5,1
540,71.0,1
541,31.275,0
542,31.275,0
543,26.0,1
544,106.425,0
545,26.0,0
546,26.0,1
547,13.8625,1
548,20.525,0
549,36.75,1
550,110.8833,1
551,26.0,0
552,7.8292,0
553,7.225,1
554,7.775,1
555,26.55,0
556,39.6,1
557,227.525,0
558,79.65,1
559,17.4,1
560,7.75,0
561,7.8958,0
562,13.5,0
563,8.05,0
564,8.05,0
565,24.15,0
566,7.8958,0
567,21.075,0
568,7.2292,0
569,7.8542,1
570,10.5,1
571,51.4792,1
572,26.3875,1
573,7.75,1
574,8.05,0
575,14.5,0
576,13.0,1
577,55.9,1
578,14.4583,0
579,7.925,1
580,30.0,1
581,110.8833,1
582,26.0,0
583,40.125,0
584,8.7125,0
585,79.65,1
586,15.0,0
587,79.2,1
588,8.05,0
589,8.05,0
590,7.125,0
591,78.2667,1
592,7.25,0
593,7.75,0
594,26.0,0
595,24.15,0
596,33.0,1
597,0.0,0
598,7.225,0
599,56.9292,1
600,27.0,1
601,7.8958,0
602,42.4,0
603,8.05,0
604,26.55,1
605,15.55,0
606,7.8958,0
607,30.5,1
608,41.5792,1
609,153.4625,1
610,31.275,0
611,7.05,0
612,15.5,1
613,7.75,0
614,8.05,0
615,65.0,1
616,14.4,0
617,16.1,0
618,39.0,1
619,10.5,0
620,14.4542,0
621,52.5542,1
622,15.7417,1
623,7.8542,0
624,16.1,0
625,32.3208,0
626,12.35,0
627,77.9583,1
628,7.8958,0
629,7.7333,0
630,30.0,1
631,7.0542,0
632,30.5,1
633,0.0,0
634,27.9,0
635,13.0,1
636,7.925,0
637,26.25,0
638,39.6875,0
639,16.1,0
640,7.8542,0
641,69.3,1
642,27.9,0
643,56.4958,1
644,19.2583,1
645,76.7292,1
646,7.8958,0
647,35.5,1
648,7.55,0
649,7.55,1
650,7.8958,0
651,23.0,1
652,8.4333,0
653,7.8292,1
654,6.75,0
655,73.5,0
656,7.8958,0
657,15.5,0
658,13.0,0
659,113.275,0
660,133.65,1
661,7.225,0
662,25.5875,0
663,7.4958,0
664,7.925,1
665,73.5,0
666,13.0,0
667,7.775,0
668,8.05,0
669,52.0,1
670,39.0,1
671,52.0,0
672,10.5,0
673,13.0,1
674,0.0,0
675,7.775,0
676,8.05,0
677,9.8417,1
678,46.9,0
679,512.3292,1
680,8.1375,0
681,76.7292,1
682,9.225,0
683,46.9,0
684,39.0,0
685,41.5792,0
686,39.6875,0
687,10.1708,0
688,7.7958,0
689,211.3375,1
690,57.0,1
691,13.4167,1
692,56.4958,1
693,7.225,0
694,26.55,0
695,13.5,0
696,8.05,0
697,7.7333,1
698,110.8833,0
699,7.65,0
700,227.525,1
701,26.2875,1
702,14.4542,0
703,7.7417,0
704,7.8542,0
705,26.0,0
706,13.5,1
707,26.2875,1
708,151.55,1
709,15.2458,1
710,49.5042,1
711,26.55,0
712,52.0,1
713,9.4833,0
714,13.0,0
715,7.65,0
716,227.525,1
717,10.5,1
718,15.5,0
719,7.775,0
720,33.0,1
721,7.0542,0
722,13.0,0
723,13.0,0
724,53.1,1
725,8.6625,0
726,21.0,1
727,7.7375,1
728,26.0,0
729,7.925,0
730,211.3375,1
731,18.7875,0
732,0.0,0
733,13.0,0
734,13.0,0
735,16.1,0
736,34.375,0
737,512.3292,1
738,7.8958,0
739,7.8958,0
740,30.0,1
741,78.85,0
742,262.375,1
743,16.1,0
744,7.925,1
745,71.0,0
746,20.25,0
747,13.0,1
748,53.1,0
749,7.75,0
750,23.0,1
751,12.475,1
752,9.5,0
753,7.8958,0
754,65.0,1
755,14.5,1
756,7.7958,0
757,11.5,0
758,8.05,0
759,86.5,1
760,14.5,0
761,7.125,0
762,7.2292,1
763,120.0,1
764,7.775,0
765,77.9583,1
766,39.6,0
767,7.75,0
768,24.15,0
769,8.3625,0
770,9.5,0
771,7.8542,0
772,10.5,0
773,7.225,0
774,23.0,1
775,7.75,0
776,7.75,0
777,12.475,1
778,7.7375,0
779,211.3375,1
780,7.2292,1
781,57.0,1
782,30.0,0
783,23.45,0
784,7.05,0
785,7.25,0
786,7.4958,1
787,29.125,0
788,20.575,1
789,79.2,0
790,7.75,0
791,26.0,0
792,69.55,0
793,30.6958,0
794,7.8958,0
795,13.0,0
796,25.9292,1
797,8.6833,1
798,7.2292,0
799,24.15,0
800,13.0,0
801,26.25,1
802,120.0,1
803,8.5167,1
804,6.975,1
805,7.775,0
806,0.0,0
807,7.775,0
808,13.0,0
809,53.1,1
810,7.8875,0
811,24.15,0
812,10.5,0
813,31.275,0
814,8.05,0
815,0.0,0
816,7.925,0
817,37.0042,0
818,6.45,0
819,27.9,0
820,93.5,1
821,8.6625,1
822,0.0,0
823,12.475,1
824,39.6875,0
825,6.95,0
826,56.4958,0
827,37.0042,1
828,7.75,1
829,80.0,1
830,14.4542,1
831,18.75,1
832,7.2292,0
833,7.8542,0
834,8.3,0
835,83.1583,1
836,8.6625,0
837,8.05,0
838,56.4958,1
839,29.7,1
840,7.925,0
841,10.5,0
842,31.0,1
843,6.4375,0
844,8.6625,0
845,7.55,0
846,69.55,0
847,7.8958,0
848,33.0,0
849,89.1042,1
850,31.275,0
851,7.775,0
852,15.2458,0
853,39.4,1
854,26.0,0
855,9.35,1
856,164.8667,1
857,26.55,1
858,19.2583,1
859,7.2292,0
860,14.1083,0
861,11.5,0
862,25.9292,1
863,69.55,0
864,13.0,0
865,13.0,1
866,13.8583,1
867,50.4958,0
868,9.5,0
869,11.1333,1
870,7.8958,0
871,52.5542,1
872,5.0,0
873,9.0,0
874,24.0,1
875,7.225,1
876,9.8458,0
877,7.8958,0
878,7.8958,0
879,83.1583,1
880,26.0,1
881,7.8958,0
882,10.5167,0
883,10.5,0
884,7.05,0
885,29.125,0
886,13.0,0
887,30.0,1
888,23.45,0
889,30.0,1
890,7.75,0
